Datetime,Tweet Id,Link,Text,Username,Total replycount,Total retweetcount,Source,Total likecount
2023-01-31 22:38:10+00:00,1620552043609096192,https://twitter.com/jack/status/1620552043609096192,"and Google Play Store: https://t.co/1Ve7GIBG0F

and of course, the open web: https://t.co/qXl9xrmtKE (one of many)",jack,402,685,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2759
2023-01-31 22:38:09+00:00,1620552041600000000,https://twitter.com/jack/status/1620552041600000000,"a milestone for open protocols...

#nostr is now officially on the Apple App Store with @damusapp:
https://t.co/GQmvPE5nfX",jack,1176,2154,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",8428
2023-01-02 01:13:43+00:00,1609719555827408897,https://twitter.com/jack/status/1609719555827408897,@damusapp 👀,jack,55,72,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",270
2023-01-01 06:00:30+00:00,1609429338641793027,https://twitter.com/jack/status/1609429338641793027,pura vida,jack,2407,1538,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",16378
2022-12-30 19:05:37+00:00,1608902142924062722,https://twitter.com/jack/status/1608902142924062722,@jb55 👀,jack,14,39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",85
2022-12-29 06:11:20+00:00,1608344900361244672,https://twitter.com/jack/status/1608344900361244672,https://t.co/bBQhvGML79,jack,312,426,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2946
2022-12-29 01:17:20+00:00,1608270911639109639,https://twitter.com/jack/status/1608270911639109639,@suhailsaqan Nice work,jack,23,44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",146
2022-12-26 02:39:36+00:00,1607204454373249024,https://twitter.com/jack/status/1607204454373249024,@NeilJacobs @CitizenBitcoin @VitalikButerin Yes,jack,14,31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",211
2022-12-26 01:12:35+00:00,1607182555362779136,https://twitter.com/jack/status/1607182555362779136,@real_avi_eth ~ &lt; 0 at this moment,jack,2,27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",27
2022-12-25 23:46:11+00:00,1607160811470065664,https://twitter.com/jack/status/1607160811470065664,@CourtMaggard @Astropin I understand and all good.,jack,3,22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",36
2022-12-25 23:41:31+00:00,1607159635248664576,https://twitter.com/jack/status/1607159635248664576,@rabble @csuwildcat @robwijers Yes. And docs point to scuttlebutt influence. Thanks for your work Rabble.,jack,2,22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",35
2022-12-25 23:34:48+00:00,1607157947267694593,https://twitter.com/jack/status/1607157947267694593,"@csuwildcat @robwijers Not sure why it needs to do anything “new.” It needs to do it right. Most “new” things are simply mashups of prior work. bitcoin is that, as is nostr.",jack,15,36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",222
2022-12-25 23:30:17+00:00,1607156808308736001,https://twitter.com/jack/status/1607156808308736001,@RajarshiMaitra Thank you. Will study this,jack,3,30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",99
2022-12-25 23:28:38+00:00,1607156394796384259,https://twitter.com/jack/status/1607156394796384259,@robwijers @csuwildcat @SlashTags It def is. And all these things can complement each other. Moving forward is going to need different answers.,jack,2,21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",10
2022-12-25 22:19:48+00:00,1607139070970298369,https://twitter.com/jack/status/1607139070970298369,@ck_SNARKs Try it and you’ll know,jack,35,36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",310
